POINTID,collarID,collOrig,SEX,Treatment,PrePost,ID,Timestamp,Northing,Easting
477,40991,40991,F,H2L,PreMove,40991 PreMove,10/1/2018 0:00:0,33.151786,-81.706077
478,40991,40991,F,H2L,PreMove,40991 PreMove,10/1/2018 4:00:0,33.149295,-81.705322
479,40991,40991,F,H2L,PreMove,40991 PreMove,10/1/2018 6:00:0,33.150444,-81.706008
480,40991,40991,F,H2L,PreMove,40991 PreMove,10/1/2018 12:00:0,33.151432,-81.704589
481,40991,40991,F,H2L,PreMove,40991 PreMove,10/1/2018 18:00:0,33.151317,-81.704574
482,40991,40991,F,H2L,PreMove,40991 PreMove,10/1/2018 20:00:0,33.151664,-81.705398
483,40991,40991,F,H2L,PreMove,40991 PreMove,10/1/2018 22:00:0,33.148239,-81.706848
484,40991,40991,F,H2L,PreMove,40991 PreMove,10/2/2018 0:00:0,33.148056,-81.707336
485,40991,40991,F,H2L,PreMove,40991 PreMove,10/2/2018 2:00:0,33.147716,-81.707801
486,40991,40991,F,H2L,PreMove,40991 PreMove,10/2/2018 4:00:0,33.147407,-81.708198
487,40991,40991,F,H2L,PreMove,40991 PreMove,10/2/2018 6:00:0,33.149204,-81.70829
488,40991,40991,F,H2L,PreMove,40991 PreMove,10/2/2018 12:00:0,33.148269,-81.708526
489,40991,40991,F,H2L,PreMove,40991 PreMove,10/2/2018 18:00:0,33.148189,-81.70848
490,40991,40991,F,H2L,PreMove,40991 PreMove,10/2/2018 20:00:0,33.148105,-81.708519
491,40991,40991,F,H2L,PreMove,40991 PreMove,10/2/2018 22:00:0,33.152053,-81.709472
492,40991,40991,F,H2L,PreMove,40991 PreMove,10/3/2018 0:00:0,33.151844,-81.705963
493,40991,40991,F,H2L,PreMove,40991 PreMove,10/3/2018 2:00:0,33.150001,-81.705886
494,40991,40991,F,H2L,PreMove,40991 PreMove,10/3/2018 4:00:0,33.148685,-81.703506
495,40991,40991,F,H2L,PreMove,40991 PreMove,10/3/2018 6:00:0,33.149982,-81.703414
496,40991,40991,F,H2L,PreMove,40991 PreMove,10/3/2018 18:00:0,33.15084,-81.704818
497,40991,40991,F,H2L,PreMove,40991 PreMove,10/3/2018 20:00:0,33.151641,-81.706634
498,40991,40991,F,H2L,PreMove,40991 PreMove,10/3/2018 22:00:0,33.149868,-81.706367
499,40991,40991,F,H2L,PreMove,40991 PreMove,10/4/2018 0:00:0,33.14825,-81.708122
500,40991,40991,F,H2L,PreMove,40991 PreMove,10/4/2018 2:00:0,33.149108,-81.708564
501,40991,40991,F,H2L,PreMove,40991 PreMove,10/4/2018 4:00:0,33.14928,-81.710006
502,40991,40991,F,H2L,PreMove,40991 PreMove,10/4/2018 6:00:0,33.149375,-81.707946
503,40991,40991,F,H2L,PreMove,40991 PreMove,10/4/2018 18:00:0,33.151298,-81.704826
504,40991,40991,F,H2L,PreMove,40991 PreMove,10/4/2018 20:00:0,33.152034,-81.706192
505,40991,40991,F,H2L,PreMove,40991 PreMove,10/4/2018 22:00:0,33.148437,-81.708023
506,40991,40991,F,H2L,PreMove,40991 PreMove,10/5/2018 0:00:0,33.149719,-81.705719
507,40991,40991,F,H2L,PreMove,40991 PreMove,10/5/2018 2:00:0,33.148208,-81.703468
508,40991,40991,F,H2L,PreMove,40991 PreMove,10/5/2018 4:00:0,33.14756,-81.7033
509,40991,40991,F,H2L,PreMove,40991 PreMove,10/5/2018 6:00:0,33.147716,-81.703483
510,40991,40991,F,H2L,PreMove,40991 PreMove,10/5/2018 12:00:0,33.151004,-81.704017
511,40991,40991,F,H2L,PreMove,40991 PreMove,10/5/2018 18:00:0,33.150745,-81.704078
512,40991,40991,F,H2L,PreMove,40991 PreMove,10/5/2018 20:00:0,33.148384,-81.708145
513,40991,40991,F,H2L,PreMove,40991 PreMove,10/5/2018 22:00:0,33.150558,-81.70549
514,40991,40991,F,H2L,PreMove,40991 PreMove,10/6/2018 0:00:0,33.149192,-81.706787
515,40991,40991,F,H2L,PreMove,40991 PreMove,10/6/2018 2:00:0,33.148391,-81.708145
516,40991,40991,F,H2L,PreMove,40991 PreMove,10/6/2018 4:00:0,33.148952,-81.70539
517,40991,40991,F,H2L,PreMove,40991 PreMove,10/6/2018 6:00:0,33.148513,-81.704437
518,40991,40991,F,H2L,PreMove,40991 PreMove,10/6/2018 12:00:0,33.149192,-81.70539
519,40991,40991,F,H2L,PreMove,40991 PreMove,10/6/2018 20:00:0,33.148342,-81.708099
520,40991,40991,F,H2L,PreMove,40991 PreMove,10/6/2018 22:00:0,33.149471,-81.704055
521,40991,40991,F,H2L,PreMove,40991 PreMove,10/7/2018 0:00:0,33.147331,-81.703262
522,40991,40991,F,H2L,PreMove,40991 PreMove,10/7/2018 2:00:0,33.147579,-81.703315
523,40991,40991,F,H2L,PreMove,40991 PreMove,10/7/2018 4:00:0,33.149852,-81.70642
524,40991,40991,F,H2L,PreMove,40991 PreMove,10/7/2018 6:00:0,33.149345,-81.708213
525,40991,40991,F,H2L,PreMove,40991 PreMove,10/7/2018 18:00:0,33.149021,-81.705543
526,40991,40991,F,H2L,PreMove,40991 PreMove,10/7/2018 20:00:0,33.148441,-81.708236
