POINTID,collarID,collOrig,SEX,Treatment,PrePost,ID,Timestamp,Northing,Easting
80,40991,40991,F,H2L,PostMove,40991 PostMove,11/28/2018 12:00:0,33.276177,-81.695533
81,40991,40991,F,H2L,PostMove,40991 PostMove,11/28/2018 18:00:0,33.277271,-81.694224
82,40991,40991,F,H2L,PostMove,40991 PostMove,11/28/2018 20:00:0,33.278199,-81.696449
83,40991,40991,F,H2L,PostMove,40991 PostMove,11/28/2018 22:00:0,33.278574,-81.695063
84,40991,40991,F,H2L,PostMove,40991 PostMove,11/29/2018 0:00:0,33.277678,-81.689849
85,40991,40991,F,H2L,PostMove,40991 PostMove,11/29/2018 2:00:0,33.275268,-81.692634
86,40991,40991,F,H2L,PostMove,40991 PostMove,11/29/2018 4:00:0,33.273005,-81.691668
87,40991,40991,F,H2L,PostMove,40991 PostMove,11/29/2018 6:00:0,33.274721,-81.696894
88,40991,40991,F,H2L,PostMove,40991 PostMove,11/29/2018 12:00:0,33.271657,-81.697415
89,40991,40991,F,H2L,PostMove,40991 PostMove,11/29/2018 18:00:0,33.269819,-81.697186
90,40991,40991,F,H2L,PostMove,40991 PostMove,11/29/2018 20:00:0,33.270106,-81.697682
91,40991,40991,F,H2L,PostMove,40991 PostMove,11/29/2018 22:00:0,33.26877,-81.697466
92,40991,40991,F,H2L,PostMove,40991 PostMove,11/30/2018 0:00:0,33.264631,-81.69388
93,40991,40991,F,H2L,PostMove,40991 PostMove,11/30/2018 2:00:0,33.263779,-81.695304
94,40991,40991,F,H2L,PostMove,40991 PostMove,11/30/2018 4:00:0,33.264345,-81.694135
95,40991,40991,F,H2L,PostMove,40991 PostMove,11/30/2018 6:00:0,33.273075,-81.691197
96,40991,40991,F,H2L,PostMove,40991 PostMove,11/30/2018 12:00:0,33.2731,-81.691197
97,40991,40991,F,H2L,PostMove,40991 PostMove,11/30/2018 18:00:0,33.273259,-81.691197
98,40991,40991,F,H2L,PostMove,40991 PostMove,11/30/2018 20:00:0,33.272413,-81.690447
99,40991,40991,F,H2L,PostMove,40991 PostMove,11/30/2018 22:00:0,33.272941,-81.692036
100,40991,40991,F,H2L,PostMove,40991 PostMove,12/1/2018 0:00:0,33.273291,-81.693219
101,40991,40991,F,H2L,PostMove,40991 PostMove,12/1/2018 2:00:0,33.275147,-81.692685
102,40991,40991,F,H2L,PostMove,40991 PostMove,12/1/2018 4:00:0,33.275402,-81.694478
103,40991,40991,F,H2L,PostMove,40991 PostMove,12/1/2018 6:00:0,33.27235,-81.691413
104,40991,40991,F,H2L,PostMove,40991 PostMove,12/1/2018 12:00:0,33.272941,-81.691299
105,40991,40991,F,H2L,PostMove,40991 PostMove,12/1/2018 18:00:0,33.273342,-81.69327
106,40991,40991,F,H2L,PostMove,40991 PostMove,12/1/2018 20:00:0,33.274206,-81.693944
107,40991,40991,F,H2L,PostMove,40991 PostMove,12/1/2018 22:00:0,33.274969,-81.691986
108,40991,40991,F,H2L,PostMove,40991 PostMove,12/2/2018 0:00:0,33.277194,-81.690345
109,40991,40991,F,H2L,PostMove,40991 PostMove,12/2/2018 2:00:0,33.277315,-81.689468
110,40991,40991,F,H2L,PostMove,40991 PostMove,12/2/2018 4:00:0,33.274181,-81.693079
111,40991,40991,F,H2L,PostMove,40991 PostMove,12/2/2018 6:00:0,33.274448,-81.692723
112,40991,40991,F,H2L,PostMove,40991 PostMove,12/2/2018 12:00:0,33.274403,-81.692723
113,40991,40991,F,H2L,PostMove,40991 PostMove,12/2/2018 18:00:0,33.274066,-81.693893
114,40991,40991,F,H2L,PostMove,40991 PostMove,12/2/2018 20:00:0,33.275503,-81.693842
115,40991,40991,F,H2L,PostMove,40991 PostMove,12/2/2018 22:00:0,33.275897,-81.693779
116,40991,40991,F,H2L,PostMove,40991 PostMove,12/3/2018 0:00:0,33.279331,-81.696055
117,40991,40991,F,H2L,PostMove,40991 PostMove,12/3/2018 2:00:0,33.277385,-81.694338
118,40991,40991,F,H2L,PostMove,40991 PostMove,12/3/2018 4:00:0,33.278491,-81.691808
119,40991,40991,F,H2L,PostMove,40991 PostMove,12/3/2018 6:00:0,33.276514,-81.692494
120,40991,40991,F,H2L,PostMove,40991 PostMove,12/3/2018 12:00:0,33.27701,-81.695139
121,40991,40991,F,H2L,PostMove,40991 PostMove,12/3/2018 18:00:0,33.276908,-81.694605
122,40991,40991,F,H2L,PostMove,40991 PostMove,12/3/2018 20:00:0,33.277392,-81.694287
123,40991,40991,F,H2L,PostMove,40991 PostMove,12/3/2018 22:00:0,33.279242,-81.696258
124,40991,40991,F,H2L,PostMove,40991 PostMove,12/4/2018 0:00:0,33.277481,-81.69388
125,40991,40991,F,H2L,PostMove,40991 PostMove,12/4/2018 2:00:0,33.277531,-81.693868
126,40991,40991,F,H2L,PostMove,40991 PostMove,12/4/2018 4:00:0,33.276514,-81.693791
127,40991,40991,F,H2L,PostMove,40991 PostMove,12/4/2018 6:00:0,33.27818,-81.69636
128,40991,40991,F,H2L,PostMove,40991 PostMove,12/4/2018 12:00:0,33.277373,-81.695203
129,40991,40991,F,H2L,PostMove,40991 PostMove,12/4/2018 18:00:0,33.277525,-81.693842
130,40991,40991,F,H2L,PostMove,40991 PostMove,12/4/2018 20:00:0,33.278135,-81.691668
131,40991,40991,F,H2L,PostMove,40991 PostMove,12/4/2018 22:00:0,33.274028,-81.693804
132,40991,40991,F,H2L,PostMove,40991 PostMove,12/5/2018 0:00:0,33.273768,-81.693957
133,40991,40991,F,H2L,PostMove,40991 PostMove,12/5/2018 2:00:0,33.272865,-81.691731
134,40991,40991,F,H2L,PostMove,40991 PostMove,12/5/2018 4:00:0,33.272439,-81.690269
135,40991,40991,F,H2L,PostMove,40991 PostMove,12/5/2018 6:00:0,33.273145,-81.691235
136,40991,40991,F,H2L,PostMove,40991 PostMove,12/5/2018 12:00:0,33.273125,-81.691223
137,40991,40991,F,H2L,PostMove,40991 PostMove,12/5/2018 18:00:0,33.273036,-81.69121
138,40991,40991,F,H2L,PostMove,40991 PostMove,12/5/2018 20:00:0,33.273125,-81.691464
139,40991,40991,F,H2L,PostMove,40991 PostMove,12/5/2018 22:00:0,33.273017,-81.691121
140,40991,40991,F,H2L,PostMove,40991 PostMove,12/6/2018 0:00:0,33.273208,-81.691299
141,40991,40991,F,H2L,PostMove,40991 PostMove,12/6/2018 2:00:0,33.273049,-81.69121
142,40991,40991,F,H2L,PostMove,40991 PostMove,12/6/2018 4:00:0,33.272903,-81.691134
143,40991,40991,F,H2L,PostMove,40991 PostMove,12/6/2018 6:00:0,33.273017,-81.691337
144,40991,40991,F,H2L,PostMove,40991 PostMove,12/6/2018 18:00:0,33.273214,-81.691057
145,40991,40991,F,H2L,PostMove,40991 PostMove,12/6/2018 20:00:0,33.274022,-81.694058
146,40991,40991,F,H2L,PostMove,40991 PostMove,12/6/2018 22:00:0,33.274677,-81.69149
147,40991,40991,F,H2L,PostMove,40991 PostMove,12/7/2018 0:00:0,33.276381,-81.690523
148,40991,40991,F,H2L,PostMove,40991 PostMove,12/7/2018 2:00:0,33.27729,-81.689188
149,40991,40991,F,H2L,PostMove,40991 PostMove,12/7/2018 4:00:0,33.277436,-81.693435
150,40991,40991,F,H2L,PostMove,40991 PostMove,12/7/2018 6:00:0,33.274429,-81.692685
151,40991,40991,F,H2L,PostMove,40991 PostMove,12/7/2018 12:00:0,33.274422,-81.692761
152,40991,40991,F,H2L,PostMove,40991 PostMove,12/7/2018 18:00:0,33.276298,-81.6936
153,40991,40991,F,H2L,PostMove,40991 PostMove,12/7/2018 20:00:0,33.275605,-81.691426
154,40991,40991,F,H2L,PostMove,40991 PostMove,12/7/2018 22:00:0,33.273996,-81.693079
155,40991,40991,F,H2L,PostMove,40991 PostMove,12/8/2018 0:00:0,33.270741,-81.695279
156,40991,40991,F,H2L,PostMove,40991 PostMove,12/8/2018 2:00:0,33.272229,-81.693855
157,40991,40991,F,H2L,PostMove,40991 PostMove,12/8/2018 4:00:0,33.272191,-81.692621
158,40991,40991,F,H2L,PostMove,40991 PostMove,12/8/2018 6:00:0,33.274467,-81.692532
159,40991,40991,F,H2L,PostMove,40991 PostMove,12/8/2018 18:00:0,33.2746,-81.691604
160,40991,40991,F,H2L,PostMove,40991 PostMove,12/8/2018 20:00:0,33.278231,-81.696512
161,40991,40991,F,H2L,PostMove,40991 PostMove,12/8/2018 22:00:0,33.279674,-81.696004
